%Wavelength	fat	water_36c	Hb02 mm-1/mM	Hb mm-1/mM
892	0.003491	0.0060286	0.29967	0.21525
894	0.003833	0.006106	0.30075	0.21633
896	0.004121	0.0062957	0.30183	0.21742
898	0.004384	0.006374	0.30292	0.2185
900	0.004633	0.006525	0.304	0.21958
902	0.004915	0.0067105	0.30508	0.22067
904	0.005267	0.0069181	0.30617	0.22175
906	0.005721	0.0070384	0.30642	0.22113
908	0.006316	0.0071958	0.30667	0.2205
910	0.007046	0.0074929	0.30692	0.21987
912	0.007837	0.0077366	0.30717	0.21925
914	0.008621	0.0079653	0.30742	0.21863
916	0.009354	0.008403	0.30767	0.218
918	0.01	0.0087848	0.30792	0.21737
920	0.01065	0.0093275	0.30817	0.21675
922	0.01133	0.010019	0.30767	0.21425
924	0.012	0.010576	0.30717	0.21175
926	0.0126	0.011469	0.30667	0.20925
928	0.01299	0.012254	0.30617	0.20675
930	0.0131	0.01348	0.30567	0.20425
932	0.01283	0.014683	0.30517	0.20175
934	0.01218	0.016018	0.30467	0.19925
936	0.01126	0.017477	0.30417	0.19675
938	0.01008	0.019005	0.30367	0.19425
940	0.008754	0.020962	0.30317	0.19175
942	0.007446	0.022797	0.30207	0.18705
944	0.00625	0.024645	0.30097	0.18235
946	0.005234	0.026432	0.29987	0.17765
948	0.004445	0.029678	0.29877	0.17295
950	0.003799	0.033144	0.29767	0.16825
952	0.003274	0.036665	0.29657	0.16355
954	0.002852	0.040226	0.29547	0.15885
956	0.002504	0.043644	0.29437	0.15415
958	0.002242	0.04632	0.29327	0.14945
960	0.002047	0.048775	0.29217	0.14475
962	0.001917	0.050147	0.29057	0.1408
964	0.001808	0.051443	0.28897	0.13685
966	0.001693	0.052014	0.28737	0.1329
968	0.001589	0.052147	0.28577	0.12895
970	0.001528	0.052202	0.28417	0.125
972	0.001491	0.052226	0.28257	0.12105
974	0.001431	0.052335	0.28097	0.1171
976	0.001408	0.051987	0.27937	0.11315
978	0.001421	0.051544	0.27777	0.1092
980	0.001417	0.05106	0.27617	0.10525
982	0.001406	0.050219	0.27457	0.1013
984	0.001441	0.049378	0.27297	0.09735
986	0.001524	0.048499	0.27137	0.0934
988	0.001607	0.047525	0.26977	0.08945
990	0.001716	0.046271	0.26817	0.0855
992	0.001891	0.045002	0.26657	0.08155
994	0.002087	0.044049	0.26497	0.0776
996	0.002272	0.042783	0.26337	0.07365
998	0.002464	0.04154	0.26177	0.0697
1000	0.002654	0.040324	0.26017	0.06575
