%LAMBDA	Hb02 mm-1/mM	Hb mm-1/mM	H20 1/mm	fat  (mm-1 )  Hb-Met(mm-1/mM)  Hb-CO (mm-1/mM) evans blue(mm-1/mM) Meth Blue (mm-1/mM)			
724	0.122	0.34	0.0014746	0.00022407	0.225	0.0023	0.240077917	0.1904581
726	0.123	0.334	0.0016096	0.000258697	0.227	0.0022	0.207017021	0.1720341
728	0.125	0.33	0.0017669	0.000299394	0.229	0.0022	0.176525968	0.1149197
730	0.127	0.327	0.0019821	0.000345452	0.231	0.0022	0.153364336	0.1338043
732	0.129	0.326	0.0021974	0.000373847	0.233	0.0022	0.128062545	0.0932715
734	0.131	0.327	0.0023893	0.000385629	0.235	0.0021	0.107619491	0.1119258
736	0.133	0.329	0.0025813	0.000391691	0.238	0.0021	0.083871166	0.0916594
738	0.135	0.333	0.0026869	0.000392031	0.241	0.0021	0.069113163	0.0398419
740	0.137	0.339	0.0027594	0.000414875	0.245	0.0021	0.059957583	0.0716233
742	0.139	0.346	0.0028082	0.000461633	0.248	0.002	0.046298586	0.0257936
744	0.141	0.355	0.0028272	0.000518773	0.251	0.002	0.034507057	0.0407631
746	0.143	0.366	0.0028436	0.000587656	0.254	0.002	0.033325433	0.0561932
748	0.145	0.377	0.002847	0.000655828	0.258	0.002	0.023037784	0.0718536
750	0.148	0.388	0.0028503	0.00072317	0.261	0.0019	0.014014428	0.0628719
752	0.15	0.399	0.0028611	0.00077654	0.265	0.0019	0.012816263	0.0221088
754	0.152	0.409	0.0028728	0.000812096	0.269	0.0019	0.007040317	0.062181
756	0.154	0.415	0.0028735	0.000852114	0.274	0.0019	0.003049202	0.0403025
758	0.157	0.417	0.0028672	0.000898172	0.278	0.0019	0.00109083	0.048363
760	0.159	0.414	0.0028629	0.000928607	0.283	0.0018	-0.001602961	0.0075999
762	0.161	0.407	0.0028626	0.000936529	0.287	0.0018	-0.005197427	0.0075999
764	0.163	0.396	0.0028615	0.000902593	0.292	0.0018	-0.006560859	0.0361571
766	0.166	0.381	0.0028469	0.000804295	0.298	0.0018	-0.009800024	0.0361571
768	0.168	0.364	0.0028323	0.000690904	0.302	0.0018	-0.009221596	0.0287875
770	0.171	0.347	0.0028123	0.00055273	0.309	0.0018	-0.012295495	0.0303996
772	0.173	0.33	0.0027907	0.000425197	0.314	0.0018	-0.012832594	0.0303996
774	0.175	0.314	0.0027704	0.000316327	0.319	0.0017	-0.012477293	0.0303996
